name,slug,genre,image_url,description,social_links,
Guns N' Roses,guns-n'-roses,,,,,
Cradle of Filth,cradle-of-filth,,,,,
36 Crazyfists,36-crazyfists,,,,,
DragonForce,dragonforce,,,,,
Hatebreed,hatebreed,,,,,
Sick of it All,sick-of-it-all,,,,,
Skindred,skindred,,,,,
Moneen,moneen,,,,,
Darkest Hour,darkest-hour,,,,,
Blindside,blindside,,,,,
Mendeed,mendeed,,,,,
Bring Me the Horizon,bring-me-the-horizon,,,,,
Zico Chain,zico-chain,,,,,
Voodoo Six,voodoo-six,,,,,
Lauren Harris,lauren-harris,,,,,
Winterville,winterville,,,,,
Streetlight Youth,streetlight-youth,,,,,
I-Def-I,i-def-i,,,,,
Viking Skull,viking-skull,,,,,
Betty Curse,betty-curse,,,,,
Evergrey,evergrey,,,,,
Wolfmother,wolfmother,,,,,
Hinder,hinder,,,,,
Buckcherry,buckcherry,,,,,
Paramore,paramore,,,,,
Porcupine Tree,porcupine-tree,,,,,
Saosin,saosin,,,,,
From Autumn to Ashes,from-autumn-to-ashes,,,,,
Turbonegro,turbonegro,,,,,
Ill Niño,ill-niño,,,,,
ANJ,anj,,,,,
Suicidal Tendencies,suicidal-tendencies,,,,,
Hayseed Dixie,hayseed-dixie,,,,,
Yourcodenameis:Milo,yourcodenameis:milo,,,,,
Job for a Cowboy,job-for-a-cowboy,,,,,
Sanctity,sanctity,,,,,
I Was a Cub Scout,i-was-a-cub-scout,,,,,
The Scare,the-scare,,,,,
Neurosonic,neurosonic,,,,,
This Et Al,this-et-al,,,,,
Cynic,cynic,,,,,
Fortune Drive,fortune-drive,,,,,
Drive-by Argument,drive-by-argument,,,,,
Linkin Park,linkin-park,,,,,
Marilyn Manson,marilyn-manson,,,,,
Machine Head,machine-head,,,,,
Thirty Seconds to Mars,thirty-seconds-to-mars,,,,,
Aiden,aiden,,,,,
Hellyeah,hellyeah,,,,,
Turisas,turisas,,,,,
Mötley Crüe,mötley-crüe,,,,,
Satellite Party,satellite-party,,,,,
My Vitriol,my-vitriol,,,,,
My Dying Bride,my-dying-bride,,,,,
Gallows,gallows,,,,,
Anathema,anathema,,,,,
Elliot Minor,elliot-minor,,,,,
Cat the Dog,cat-the-dog,,,,,
Head Automatica,head-automatica,,,,,
Necro,necro,,,,,
Silverstein,silverstein,,,,,
Lez Zeppelin,lez-zeppelin,,,,,
Architects,architects,,,,,
Priestess,priestess,,,,,
Beyond All Reason,beyond-all-reason,,,,,
Damone,damone,,,,,
Army of Freshmen,army-of-freshmen,,,,,
Malpractice,malpractice,,,,,
Iron Maiden,iron-maiden,,,,,
Evanescence,evanescence,,,,,
Parikrama,parikrama,,,,,
Dream Theater,dream-theater,,,,,
Dimmu Borgir,dimmu-borgir,,,,,
Orange Goblin,orange-goblin,,,,,
Cancer Bats,cancer-bats,,,,,
After Forever,after-forever,,,,,
Eyelash,eyelash,,,,,
Reel Big Fish,reel-big-fish,,,,,
Fastway,fastway,,,,,
Cult of Luna,cult-of-luna,,,,,
Fair to Midland,fair-to-midland,,,,,
Kids in Glass Houses,kids-in-glass-houses,,,,,
Between the Trees,between-the-trees,,,,,
Flood of Red,flood-of-red,,,,,
Lights. Action!,lights.-action!,,,,,
In This Moment,in-this-moment,,,,,
The Ghost of a Thousand,the-ghost-of-a-thousand,,,,,
LostAlone,lostalone,,,,,
Kiss,kiss,,,,,
Judas Priest,judas-priest,,,,,
Disturbed,disturbed,,,,,
Seether,seether,,,,,
Beat Union,beat-union,,,,,
Black Tide,black-tide,,,,,
Simple Plan,simple-plan,,,,,
Rise Against,rise-against,,,,,
Rival Schools,rival-schools,,,,,
The Subways,the-subways,,,,,
The Fall of Troy,the-fall-of-troy,,,,,
Comeback Kid,comeback-kid,,,,,
The Black Dahlia Murder,the-black-dahlia-murder,,,,,
Stone Gods,stone-gods,,,,,
Zebrahead,zebrahead,,,,,
The Dillinger Escape Plan,the-dillinger-escape-plan,,,,,
Kill Hannah,kill-hannah,,,,,
Slaves to Gravity,slaves-to-gravity,,,,,
High on Fire,high-on-fire,,,,,
In Case of Fire,in-case-of-fire,,,,,
Blackhole,blackhole,,,,,
Hostile,hostile,,,,,
Firewind,firewind,,,,,
Caimbo,caimbo,,,,,
Rolo Tomassi,rolo-tomassi,,,,,
Lovvers,lovvers,,,,,
The Offspring,the-offspring,,,,,
Incubus,incubus,,,,,
Madina Lake,madina-lake,,,,,
Sign,sign,,,,,
Ash,ash,,,,,
Pendulum,pendulum,,,,,
Ace Frehley,ace-frehley,,,,,
Amon Amarth,amon-amarth,,,,,
A Day to Remember,a-day-to-remember,,,,,
The Devil Wears Prada,the-devil-wears-prada,,,,,
Alesana,alesana,,,,,
Annotations of an Autopsy,annotations-of-an-autopsy,,,,,
Malefice,malefice,,,,,
Testament,testament,,,,,
Saxon,saxon,,,,,
Fighting With Wire,fighting-with-wire,,,,,
Brigade,brigade,,,,,
The Haze,the-haze,,,,,
Big Linda,big-linda,,,,,
The Last Supper,the-last-supper,,,,,
Trigger the Bloodshed,trigger-the-bloodshed,,,,,
Mexicolas,mexicolas,,,,,
Go:Audio,go:audio,,,,,
Rise to Remain,rise-to-remain,,,,,
Verra Cruz,verra-cruz,,,,,
Lostprophets,lostprophets,,,,,
Jimmy Eat World,jimmy-eat-world,,,,,
Black Stone Cherry,black-stone-cherry,,,,,
Fightstar,fightstar,,,,,
From First to Last,from-first-to-last,,,,,
Glamour of the Kill,glamour-of-the-kill,,,,,
Cavalera Conspiracy,cavalera-conspiracy,,,,,
Children of Bodom,children-of-bodom,,,,,
The Wildhearts,the-wildhearts,,,,,
Chiodos,chiodos,,,,,
Airbourne,airbourne,,,,,
Rose Tattoo,rose-tattoo,,,,,
Lethal Bizzle,lethal-bizzle,,,,,
Municipal Waste,municipal-waste,,,,,
Cry for Silence,cry-for-silence,,,,,
Jonathan Davis,jonathan-davis,,,,,
Valient Thorr,valient-thorr,,,,,
Haunts,haunts,,,,,
August Burns Red,august-burns-red,,,,,
Between the Buried and Me,between-the-buried-and-me,,,,,
Ted Maul,ted-maul,,,,,
Canterbury,canterbury,,,,,
The Galvatrons,the-galvatrons,,,,,
Sons of Albion,sons-of-albion,,,,,
Devil Sold His Soul,devil-sold-his-soul,,,,,
Invasion,invasion,,,,,
Faith No More,faith-no-more,,,,,
Limp Bizkit,limp-bizkit,,,,,
Staind,staind,,,,,
The Blackout,the-blackout,,,,,
Hollywood Undead,hollywood-undead,,,,,
Dir En Grey,dir-en-grey,,,,,
Parkway Drive,parkway-drive,,,,,
Steadlür,steadlür,,,,,
Duff McKagan's Loaded,duff-mckagan's-loaded,,,,,
Voivod,voivod,,,,,
Middle Class Rut,middle-class-rut,,,,,
Sylosis,sylosis,,,,,
Bleed from Within,bleed-from-within,,,,,
Hunting the Minotaur,hunting-the-minotaur,,,,,
Sleepercurve,sleepercurve,,,,,
New Device,new-device,,,,,
DissolvedIn,dissolvedin,,,,,
Linchpin,linchpin,,,,,
Don Broco,don-broco,,,,,
The Outcry Collective,the-outcry-collective,,,,,
White Man Kamikaze,white-man-kamikaze,,,,,
Young Guns,young-guns,,,,,
Tripswitch,tripswitch,,,,,
The Instigators,the-instigators,,,,,
Five Finger Death Punch,five-finger-death-punch,,,,,
Ripper Owens,ripper-owens,,,,,
The Prodigy,the-prodigy,,,,,
Chris Cornell,chris-cornell,,,,,
You Me at Six,you-me-at-six,,,,,
Static-X,static-x,,,,,
