name,slug,genre,image_url,description,social_links,
Vision of Disorder,vision-of-disorder,,,,,
Hacktivist,hacktivist,,,,,
Brutality Will Prevail,brutality-will-prevail,,,,,
Little Caesar,little-caesar,,,,,
Krokodil,krokodil,,,,,
States of Panic,states-of-panic,,,,,
Bovine,bovine,,,,,
Sonic Boom Six,sonic-boom-six,,,,,
I Am I,i-am-i,,,,,
Falling with Style,falling-with-style,,,,,
Surrender the Coast,surrender-the-coast,,,,,
The Howling,the-howling,,,,,
Forever Can Wait,forever-can-wait,,,,,
Radkey,radkey,,,,,
Huntress,huntress,,,,,
Black Dogs,black-dogs,,,,,
The First,the-first,,,,,
Naked Flame,naked-flame,,,,,
Pig Iron,pig-iron,,,,,
Crash Mansion,crash-mansion,,,,,
New Killer Shoes,new-killer-shoes,,,,,
Night By Night,night-by-night,,,,,
The Graveltones,the-graveltones,,,,,
Arthemis,arthemis,,,,,
Powerman 5000,powerman-5000,,,,,
Crossfaith,crossfaith,,,,,
Miss May I,miss-may-i,,,,,
Bad Religion,bad-religion,,,,,
The Temperance Movement,the-temperance-movement,,,,,
Drenge,drenge,,,,,
Tax the Heat,tax-the-heat,,,,,
Royal Blood,royal-blood,,,,,
Quicksand,quicksand,,,,,
The Amity Affliction,the-amity-affliction,,,,,
I Am Fire,i-am-fire,,,,,
No Hot Ashes,no-hot-ashes,,,,,
Dan Reed Network,dan-reed-network,,,,,
Battlecross,battlecross,,,,,
Baby Godzilla,baby-godzilla,,,,,
Lyger,lyger,,,,,
Drones,drones,,,,,
They Say Fall,they-say-fall,,,,,
Bloody Hammers,bloody-hammers,,,,,
Bad Touch,bad-touch,,,,,
Goldray,goldray,,,,,
Jamie Lenman,jamie-lenman,,,,,
New City Kings,new-city-kings,,,,,
The Mercy House,the-mercy-house,,,,,
Mia Klose,mia-klose,,,,,
Brother & Bones,brother-&-bones,,,,,
Fall Out Boy,fall-out-boy,,,,,
Dying Fetus,dying-fetus,,,,,
Status Quo,status-quo,,,,,
Monster Magnet,monster-magnet,,,,,
Skid Row,skid-row,,,,,
Twenty One Pilots,twenty-one-pilots,,,,,
Chevelle,chevelle,,,,,
Behemoth,behemoth,,,,,
Vamps,vamps,,,,,
Blessthefall,blessthefall,,,,,
Arcane Roots,arcane-roots,,,,,
Collibus,collibus,,,,,
Iceman Thesis,iceman-thesis,,,,,
Malevolence,malevolence,,,,,
Martyr Defiled,martyr-defiled,,,,,
New Politics,new-politics,,,,,
Nothing More,nothing-more,,,,,
Skyharbor,skyharbor,,,,,
coldrain,coldrain,,,,,
Chasing Cadence,chasing-cadence,,,,,
Sinners Highway,sinners-highway,,,,,
Colt 45,colt-45,,,,,
Breathe in the Silence,breathe-in-the-silence,,,,,
Richards/Crane,richards/crane,,,,,
Ducking Punches,ducking-punches,,,,,
Joe Bonamassa,joe-bonamassa,,,,,
Richie Sambora,richie-sambora,,,,,
Winger,winger,,,,,
Red Dragon Cartel,red-dragon-cartel,,,,,
Philip H. Anselmo & the Illegals,philip-h.-anselmo-&-the-illegals,,,,,
Sabaton,sabaton,,,,,
Sepultura,sepultura,,,,,
We Came as Romans,we-came-as-romans,,,,,
Skillet,skillet,,,,,
Kill Devil Hill,kill-devil-hill,,,,,
Avatar,avatar,,,,,
Against Me!,against-me!,,,,,
Memphis May Fire,memphis-may-fire,,,,,
Crazy Town,crazy-town,,,,,
Thy Art Is Murder,thy-art-is-murder,,,,,
The Charm the Fury,the-charm-the-fury,,,,,
Viza,viza,,,,,
Monuments,monuments,,,,,
Polar,polar,,,,,
Heart in Hand,heart-in-hand,,,,,
Reignwolf,reignwolf,,,,,
Adelphia,adelphia,,,,,
The Magnus Puto,the-magnus-puto,,,,,
Create to Inspire,create-to-inspire,,,,,
Kid Karate,kid-karate,,,,,
Chinese Missy,chinese-missy,,,,,
Life on Standby,life-on-standby,,,,,
Dead City Streets,dead-city-streets,,,,,
Nick Oliveri,nick-oliveri,,,,,
Jon Gomm,jon-gomm,,,,,
Oxygen Thief,oxygen-thief,,,,,
Milk Teeth,milk-teeth,,,,,
VerseChorusVerse,versechorusverse,,,,,
Fizzy Blood,fizzy-blood,,,,,
Stormbringer,stormbringer,,,,,
At the Gates,at-the-gates,,,,,
Corrosion of Conformity,corrosion-of-conformity,,,,,
The Cadillac Three,the-cadillac-three,,,,,
Blues Pills,blues-pills,,,,,
Rival State,rival-state,,,,,
Beartooth,beartooth,,,,,
Defeater,defeater,,,,,
Gnarwolves,gnarwolves,,,,,
Counterparts,counterparts,,,,,
Bombus,bombus,,,,,
The One Hundred,the-one-hundred,,,,,
Decade,decade,,,,,
American Fangs,american-fangs,,,,,
Allusondrugs,allusondrugs,,,,,
Blood Youth,blood-youth,,,,,
The Raven Age,the-raven-age,,,,,
God Damn,god-damn,,,,,
E of E,e-of-e,,,,,
Hands Like Houses,hands-like-houses,,,,,
Beasts,beasts,,,,,
Muse,muse,,,,,
Carcass,carcass,,,,,
Geyser,geyser,,,,,
The Lounge Kittens,the-lounge-kittens,,,,,
Andrew W.K.,andrew-w.k.,,,,,
Body Count,body-count,,,,,
Crown the Empire,crown-the-empire,,,,,
Northlane,northlane,,,,,
Stray from the Path,stray-from-the-path,,,,,
"Chunk! No, Captain Chunk!","chunk!-no,-captain-chunk!",,,,,
In Hearts Wake,in-hearts-wake,,,,,
Hey! Hello!,hey!-hello!,,,,,
The Pink Slips,the-pink-slips,,,,,
Dolomite Minor,dolomite-minor,,,,,
Insomnium,insomnium,,,,,
Purson,purson,,,,,
Dub War,dub-war,,,,,
The Struts,the-struts,,,,,
Roam,roam,,,,,
Creeper,creeper,,,,,
Crobot,crobot,,,,,
Emp!re,emp!re,,,,,
New Years Day,new-years-day,,,,,
Love Zombies,love-zombies,,,,,
Iconic Eye,iconic-eye,,,,,
Tim Vantol,tim-vantol,,,,,
Von Hertzen Brothers,von-hertzen-brothers,,,,,
Blackberry Smoke,blackberry-smoke,,,,,
Tremonti,tremonti,,,,,
Pop Evil,pop-evil,,,,,
L7,l7,,,,,
Eagles of Death Metal,eagles-of-death-metal,,,,,
Godsmack,godsmack,,,,,
We Are Harlot,we-are-harlot,,,,,
H.E.A.T,h.e.a.t,,,,,
The Dead Daisies,the-dead-daisies,,,,,
Yellowcard,yellowcard,,,,,
Madball,madball,,,,,
Three Days Grace,three-days-grace,,,,,
Code Orange,code-orange,,,,,
Evil Scarecrow,evil-scarecrow,,,,,
September Mourning,september-mourning,,,,,
Like a Storm,like-a-storm,,,,,
Chelsea Grin,chelsea-grin,,,,,
Aaron Keylock,aaron-keylock,,,,,
Man with a Mission,man-with-a-mission,,,,,
The Qemists,the-qemists,,,,,
René LaVice,rené-lavice,,,,,
Trash Boat,trash-boat,,,,,
LTNT,ltnt,,,,,
Hyena,hyena,,,,,
Colour of Noise,colour-of-noise,,,,,
Sirens in the Delta,sirens-in-the-delta,,,,,
Broken Chords,broken-chords,,,,,
Babymetal,babymetal,,,,,
Alien Ant Farm,alien-ant-farm,,,,,
All Time Low,all-time-low,,,,,
Glassjaw,glassjaw,,,,,
As Lions,as-lions,,,,,
RavenEye,raveneye,,,,,
Gutterdämmerung,gutterdämmerung,,,,,
Kadavar,kadavar,,,,,
Fort Hope,fort-hope,,,,,
Heck,heck,,,,,
Puppy,puppy,,,,,
Savage Messiah,savage-messiah,,,,,
Skinny Lister,skinny-lister,,,,,
From Ashes to New,from-ashes-to-new,,,,,
Counting Days,counting-days,,,,,
Havok,havok,,,,,
Strange Bones,strange-bones,,,,,
The Amorettes,the-amorettes,,,,,
Weirds,weirds,,,,,
In Search of Sun,in-search-of-sun,,,,,
Sixx:A.M.,sixx:a.m.,,,,,
Against the Current,against-the-current,,,,,
Juliette & the Licks,juliette-&-the-licks,,,,,
Tesseract,tesseract,,,,,
Scorpion Child,scorpion-child,,,,,
The Men That Will Not Be Blamed for Nothing,the-men-that-will-not-be-blamed-for-nothing,,,,,
Inglorious,inglorious,,,,,
Santa Cruz,santa-cruz,,,,,
Pennywise,pennywise,,,,,
Neck Deep,neck-deep,,,,,
Danko Jones,danko-jones,,,,,
Black Peaks,black-peaks,,,,,
SHVPES,shvpes,,,,,
The Shrine,the-shrine,,,,,
Cane Hill,cane-hill,,,,,
Slaves,slaves,,,,,
Dead!,dead!,,,,,
Wage War,wage-war,,,,,
Palisades,palisades,,,,,
Reigning Days,reigning-days,,,,,
Wearing Scars,wearing-scars,,,,,
Scattering Ashes,scattering-ashes,,,,,
Jane's Addiction,jane's-addiction,,,,,
Breaking Benjamin,breaking-benjamin,,,,,
One Ok Rock,one-ok-rock,,,,,
Delain,delain,,,,,
Grand Magus,grand-magus,,,,,
Whiskey Myers,whiskey-myers,,,,,
Buck & Evans,buck-&-evans,,,,,
Electric Wizard,electric-wizard,,,,,
Frank Carter and the Rattlesnakes,frank-carter-and-the-rattlesnakes,,,,,
Attila,attila,,,,,
Ho99o9,ho99o9,,,,,
Good Tiger,good-tiger,,,,,
Ashestoangels,ashestoangels,,,,,
Black Foxxes,black-foxxes,,,,,
The Kenneths,the-kenneths,,,,,
Muncie Girls,muncie-girls,,,,,
The King Is Blind,the-king-is-blind,,,,,
Witchsorrow,witchsorrow,,,,,
Vukovi,vukovi,,,,,
The Franklys,the-franklys,,,,,
Mass Hysteria,mass-hysteria,,,,,
Lofofora,lofofora,,,,,
BlackRain,blackrain,,,,,
The Inspector Cluzo,the-inspector-cluzo,,,,,
Last Train,last-train,,,,,
Prophets of Rage,prophets-of-rage,,,,,
Sum 41,sum-41,,,,,
Good Charlotte,good-charlotte,,,,,
Baroness,baroness,,,,,
Machine Gun Kelly,machine-gun-kelly,,,,,
Blackwater Conspiracy,blackwater-conspiracy,,,,,
Sleeping with Sirens,sleeping-with-sirens,,,,,
State Champs,state-champs,,,,,
Issues,issues,,,,,
M O S E S,m-o-s-e-s,,,,,
Exodus,exodus,,,,,
The Contortionist,the-contortionist,,,,,
Lost Society,lost-society,,,,,
Venom Prison,venom-prison,,,,,
Red Sun Rising,red-sun-rising,,,,,
Yonaka,yonaka,,,,,
Otherkin,otherkin,,,,,
Holding Absence,holding-absence,,,,,
She Must Burn,she-must-burn,,,,,
AFI,afi,,,,,
Pierce the Veil,pierce-the-veil,,,,,
Of Mice & Men,of-mice-&-men,,,,,
Max and Igor Cavalera Return to Roots,max-and-igor-cavalera-return-to-roots,,,,,
Alestorm,alestorm,,,,,
The Story So Far,the-story-so-far,,,,,
Knuckle Puck,knuckle-puck,,,,,
As It Is,as-it-is,,,,,
Greywind,greywind,,,,,
Normandie,normandie,,,,,
I the Mighty,i-the-mighty,,,,,
Sick Puppies,sick-puppies,,,,,
Casey,casey,,,,,
The LaFontaines,the-lafontaines,,,,,
IDLES,idles,,,,,
Junior,junior,,,,,
BlackWaters,blackwaters,,,,,
Dead Label,dead-label,,,,,
Ministry,ministry,,,,,
Tyler Bryant & the Shakedown,tyler-bryant-&-the-shakedown,,,,,
Broken Witt Rebels,broken-witt-rebels,,,,,
Moose Blood,moose-blood,,,,,
Basement,basement,,,,,
Touché Amoré,touché-amoré,,,,,
Dinosaur Pile-Up,dinosaur-pile-up,,,,,
Grove Street Families,grove-street-families,,,,,
Wallflower,wallflower,,,,,
Perturbator,perturbator,,,,,
Aaron Buchanan & The Cult Classics,aaron-buchanan-&-the-cult-classics,,,,,
Devilskin,devilskin,,,,,
Stone Broken,stone-broken,,,,,
Brutai,brutai,,,,,
Fallen State,fallen-state,,,,,
Blink 182,blink-182,,,,,
Skinny Puppy,skinny-puppy,,,,,
Dagoba,dagoba,,,,,
Nostromo,nostromo,,,,,
Mars Red Sky,mars-red-sky,,,,,
Epica,epica,,,,,
Far From Alaska,far-from-alaska,,,,,
Soilwork,soilwork,,,,,
Sólstafir,sólstafir,,,,,
The Living End,the-living-end,,,,,
Aqme,aqme,,,,,
Project Black Pantera,project-black-pantera,,,,,
Green Day,green-day,,,,,
Rancid,rancid,,,,,
Leogun,leogun,,,,,
Rise of the Northstar,rise-of-the-northstar,,,,,
Carpenter Brut,carpenter-brut,,,,,
Kontrust,kontrust,,,,,
House of Pain,house-of-pain,,,,,
Dark Tranquillity,dark-tranquillity,,,,,
Kaothic,kaothic,,,,,
Jardin de la Croix,jardin-de-la-croix,,,,,
Porco Bravo,porco-bravo,,,,,
Lizzies,lizzies,,,,,
Inmune,inmune,,,,,
Virgen,virgen,,,,,
Cult,cult,,,,,
Hamlet,hamlet,,,,,
Myrath,myrath,,,,,
Bat Sabbath,bat-sabbath,,,,,
Brujeria,brujeria,,,,,
Zeke,zeke,,,,,
Triggerfinger,triggerfinger,,,,,
We Ride,we-ride,,,,,
Dawn of the Maya,dawn-of-the-maya,,,,,
Somas Cure,somas-cure,,,,,
Against the Waves,against-the-waves,,,,,
Late to Scream,late-to-scream,,,,,
Iced Earth,iced-earth,,,,,
Cobra,cobra,,,,,
Deafheaven,deafheaven,,,,,
Phil Campbell,phil-campbell,,,,,
And the Bastard Sons,and-the-bastard-sons,,,,,
Wormed,wormed,,,,,
Blaze Out,blaze-out,,,,,
Trono de Sangre,trono-de-sangre,,,,,
Syberia,syberia,,,,,
Childrain,childrain,,,,,
Boston Manor,boston-manor,,,,,
Hell Is For Heroes,hell-is-for-heroes,,,,,
Culture Abuse,culture-abuse,,,,,
The Bronx,the-bronx,,,,,
Stick To Your Guns,stick-to-your-guns,,,,,
Ded,ded,,,,,
Employed to Serve,employed-to-serve,,,,,
Woes,woes,,,,,
Igorrr,igorrr,,,,,
Loathe,loathe,,,,,
Gold Key,gold-key,,,,,
Kaiser Franz Josef,kaiser-franz-josef,,,,,
Helpless,helpless,,,,,
Cellar Darling,cellar-darling,,,,,
Powerflo,powerflo,,,,,
Mayday Parade,mayday-parade,,,,,
The Maine,the-maine,,,,,
Being As An Ocean,being-as-an-ocean,,,,,
The Fever 333,the-fever-333,,,,,
The Faim,the-faim,,,,,
WSTR,wstr,,,,,
TIGRESS,tigress,,,,,
The Bottom Line,the-bottom-line,,,,,
Plini,plini,,,,,
Knocked Loose,knocked-loose,,,,,
Massive Wagons,massive-wagons,,,,,
Sleep Token,sleep-token,,,,,
Higher Power,higher-power,,,,,
Anchor Lane,anchor-lane,,,,,
Death Blooms,death-blooms,,,,,
Ozzy Osbourne,ozzy-osbourne,,,,,
Alexisonfire,alexisonfire,,,,,
Thrice,thrice,,,,,
Kreator,kreator,,,,,
Dead Cross,dead-cross,,,,,
Greta Van Fleet,greta-van-fleet,,,,,
Starcrawler,starcrawler,,,,,
Less Than Jake,less-than-jake,,,,,
Bad Cop/Bad Cop,bad-cop/bad-cop,,,,,
Ecca Vandal,ecca-vandal,,,,,
Dream State,dream-state,,,,,
Zeal & Ardor,zeal-&-ardor,,,,,
Myrkur,myrkur,,,,,
All Them Witches,all-them-witches,,,,,
Wayward Sons,wayward-sons,,,,,
Myke Gray,myke-gray,,,,,
The Hyena Kill,the-hyena-kill,,,,,
Sun Arcana,sun-arcana,,,,,
Koyo,koyo,,,,,
King Parrot,king-parrot,,,,,
Ocean Grove,ocean-grove,,,,,
High Tension,high-tension,,,,,
Hot Water Music,hot-water-music,,,,,
Trophy Eyes,trophy-eyes,,,,,
Clowns,clowns,,,,,
Nails,nails,,,,,
Falling In Reverse,falling-in-reverse,,,,,
Make Them Suffer,make-them-suffer,,,,,
Psycroptic,psycroptic,,,,,
Chase Atlantic,chase-atlantic,,,,,
Cast Down,cast-down,,,,,
Powerwolf,powerwolf,,,,,
Eluveitie,eluveitie,,,,,
Wakan Tanka,wakan-tanka,,,,,
Vandenberg's Moonkings,vandenberg's-moonkings,,,,,
Sidilarsen,sidilarsen,,,,,
Pogo Car Crash Control,pogo-car-crash-control,,,,,
Underoath,underoath,,,,,
Peter Alexander Band Plays Tribute To Lynyrd Skynyrd,peter-alexander-band-plays-tribute-to-lynyrd-skynyrd,,,,,
Hangman's Chair,hangman's-chair,,,,,
Laura Cox Band,laura-cox-band,,,,,
Merge,merge,,,,,
Betraying the Martyrs,betraying-the-martyrs,,,,,
Alcest,alcest,,,,,
Wild Mighty Freaks,wild-mighty-freaks,,,,,
Treponem Pal,treponem-pal,,,,,
Mantar,mantar,,,,,
Ultra Vomit,ultra-vomit,,,,,
Tagada Jones,tagada-jones,,,,,
Galactic Empire,galactic-empire,,,,,
Cemican,cemican,,,,,
Bad Cop Bad Cop,bad-cop-bad-cop,,,,,
Jean Jean,jean-jean,,,,,
Foo Fighters,foo-fighters,,,,,
Wolf Alice,wolf-alice,,,,,
The Noface,the-noface,,,,,
Teacup Monster,teacup-monster,,,,,
Ego Kill Talent,ego-kill-talent,,,,,
Landmvrks,landmvrks,,,,,
The Last Internationale,the-last-internationale,,,,,
Nesseria,nesseria,,,,,
Kaiser Franz Joseph,kaiser-franz-joseph,,,,,
The G,the-g,,,,,
Jared James Nichols,jared-james-nichols,,,,,
Grit,grit,,,,,
A Perfect Circle,a-perfect-circle,,,,,
Iron Reagan,iron-reagan,,,,,
Foscor,foscor,,,,,
Hummano,hummano,,,,,
Exhorder,exhorder,,,,,
Altair,altair,,,,,
Catorce,catorce,,,,,
Aphonnic,aphonnic,,,,,
Viva Belgrado,viva-belgrado,,,,,
Ankor,ankor,,,,,
Leather Heart,leather-heart,,,,,
The Hellacopters,the-hellacopters,,,,,
Crim,crim,,,,,
Meltdown,meltdown,,,,,
77,77,,,,,
Adrift,adrift,,,,,
Crisix,crisix,,,,,
Teething,teething,,,,,
Eon,eon,,,,,
Last in Line,last-in-line,,,,,
Deadland Ritual,deadland-ritual,,,,,
Goodbye June,goodbye-june,,,,,
Me First and the Gimme Gimmes,me-first-and-the-gimme-gimmes,,,,,
The Interrupters,the-interrupters,,,,,
Icon for Hire,icon-for-hire,,,,,
Sumo Cyco,sumo-cyco,,,,,
PENGSHUi,pengshui,,,,,
Ne Obliviscaris,ne-obliviscaris,,,,,
Jinjer,jinjer,,,,,
Twelve Foot Ninja,twelve-foot-ninja,,,,,
Vega,vega,,,,,
Skynd,skynd,,,,,
Conjurer,conjurer,,,,,
Nova Twins,nova-twins,,,,,
Those Damn Crows,those-damn-crows,,,,,
GroundCulture,groundculture,,,,,
Die Antwoord,die-antwoord,,,,,
Power Trip,power-trip,,,,,
Alien Weaponry,alien-weaponry,,,,,
Brothers Osborne,brothers-osborne,,,,,
Animals as Leaders,animals-as-leaders,,,,,
Elvana,elvana,,,,,
Bad Wolves,bad-wolves,,,,,
Simple Creatures,simple-creatures,,,,,
The Wonder Years,the-wonder-years,,,,,
"Nothing,Nowhere","nothing,nowhere",,,,,
The Beaches,the-beaches,,,,,
Hot Milk,hot-milk,,,,,
Yours Truly,yours-truly,,,,,
Parting Gift,parting-gift,,,,,
Batushka,batushka,,,,,
Intervals,intervals,,,,,
The Hu,the-hu,,,,,
Riding the Low,riding-the-low,,,,,
Lovebites,lovebites,,,,,
Queen Zee,queen-zee,,,,,
Underside,underside,,,,,
Cloud,cloud,,,,,
Vambo,vambo,,,,,
Smashing Pumpkins,smashing-pumpkins,,,,,
I Prevail,i-prevail,,,,,
Starset,starset,,,,,
Badflower,badflower,,,,,
Fever 333,fever-333,,,,,
Palaye Royale,palaye-royale,,,,,
Our Last Night,our-last-night,,,,,
Allusinlove,allusinlove,,,,,
Black Futures,black-futures,,,,,
RedHook,redhook,,,,,
Toska,toska,,,,,
Crystal Lake,crystal-lake,,,,,
Kim Jennett,kim-jennett,,,,,
Blurred Vision,blurred-vision,,,,,
Wolf Jaw,wolf-jaw,,,,,
Lost in Stereo,lost-in-stereo,,,,,
Luca Brasi,luca-brasi,,,,,
Polaris,polaris,,,,,
Voyager,voyager,,,,,
War on Women,war-on-women,,,,,
Frenzal Rhomb,frenzal-rhomb,,,,,
Ruins,ruins,,,,,
Justice for the Damned,justice-for-the-damned,,,,,
Outright,outright,,,,,
Eat Your Heart Out,eat-your-heart-out,,,,,
Aversions Crown,aversions-crown,,,,,
The Beautiful Monument,the-beautiful-monument,,,,,
Windwaker,windwaker,,,,,
Amaranthe,amaranthe,,,,,
Scorpions,scorpions,,,,,
Vita Imana,vita-imana,,,,,
Liily,liily,,,,,
The Wizards,the-wizards,,,,,
Le Temps Du Loup,le-temps-du-loup,,,,,
Turnstile,turnstile,,,,,
Brutus,brutus,,,,,
Cannibal Grandpa,cannibal-grandpa,,,,,
Hiranya,hiranya,,,,,
Holy Cuervo DJ'S,holy-cuervo-dj's,,,,,
Berri Txarrak,berri-txarrak,,,,,
Leprous,leprous,,,,,
Will Haven,will-haven,,,,,
Ànteros,ànteros,,,,,
The Baboon Show,the-baboon-show,,,,,
Megara,megara,,,,,
El Altar del Holocausto,el-altar-del-holocausto,,,,,
Walking with Wolves,walking-with-wolves,,,,,
Back to the 90's DJ'S,back-to-the-90's-dj's,,,,,
Toundra,toundra,,,,,
Fiend,fiend,,,,,
Brass Against,brass-against,,,,,
Watain,watain,,,,,
Bones of Minerva,bones-of-minerva,,,,,
Bala,bala,,,,,
Frank Carter & the Rattlesnakes,frank-carter-&-the-rattlesnakes,,,,,
Wargasm,wargasm,,,,,
Tigercub,tigercub,,,,,
The Hara,the-hara,,,,,
As Everything Unfolds,as-everything-unfolds,,,,,
Lotus Eater,lotus-eater,,,,,
Saint Agnes,saint-agnes,,,,,
Frank Turner & the Sleeping Souls,frank-turner-&-the-sleeping-souls,,,,,
Chubby and the Gang,chubby-and-the-gang,,,,,
Cassyette,cassyette,,,,,
Static Dress,static-dress,,,,,
Theory,theory,,,,,
Myles Kennedy & Company,myles-kennedy-&-company,,,,,
Kris Barras Band,kris-barras-band,,,,,
Ayron Jones,ayron-jones,,,,,
Meet Me @ The Altar,meet-me-@-the-altar,,,,,
Kid Brunswick,kid-brunswick,,,,,
Press Club,press-club,,,,,
British Lion,british-lion,,,,,
Bokassa,bokassa,,,,,
Tempt,tempt,,,,,
A.A. Williams,a.a.-williams,,,,,
Dead Poet Society,dead-poet-society,,,,,
Cellar Door Moon Crow,cellar-door-moon-crow,,,,,
The Scratch,the-scratch,,,,,
Heriot,heriot,,,,,
Daughtry,daughtry,,,,,
Bush,bush,,,,,
Ice Nine Kills,ice-nine-kills,,,,,
Dirty Honey,dirty-honey,,,,,
grandson,grandson,,,,,
Dragged Under,dragged-under,,,,,
Salem,salem,,,,,
Blackout Problems,blackout-problems,,,,,
Aniimalia,aniimalia,,,,,
Dana Dentata,dana-dentata,,,,,
Banks Arcade,banks-arcade,,,,,
Temples on Mars,temples-on-mars,,,,,
Control the Storm,control-the-storm,,,,,
Descendents,descendents,,,,,
Spiritbox,spiritbox,,,,,
Marianas Trench,marianas-trench,,,,,
Cemetery Sun,cemetery-sun,,,,,
Dead Posey,dead-posey,,,,,
Myles Kennedy,myles-kennedy,,,,,
Twin Temple,twin-temple,,,,,
Fire from the Gods,fire-from-the-gods,,,,,
Orbit Culture,orbit-culture,,,,,
Kill the Lights,kill-the-lights,,,,,
Modern Error,modern-error,,,,,
Phoxjaw,phoxjaw,,,,,
Bimini,bimini,,,,,
The Velveteers,the-velveteers,,,,,
The Injester,the-injester,,,,,
Poorstacy,poorstacy,,,,,
Ghostkid,ghostkid,,,,,
The Halo Effect,the-halo-effect,,,,,
Band-Maid,band-maid,,,,,
Mammoth WVH,mammoth-wvh,,,,,
Puscifer,puscifer,,,,,
Hundred Reasons,hundred-reasons,,,,,
Cherry Bombs,cherry-bombs,,,,,
Mom Jeans,mom-jeans,,,,,
Punk Rock Factory,punk-rock-factory,,,,,
Haken,haken,,,,,
Caskets,caskets,,,,,
Mimi Barks,mimi-barks,,,,,
Snayx,snayx,,,,,
Stand Atlantic,stand-atlantic,,,,,
Smash into Pieces,smash-into-pieces,,,,,
The Warning,the-warning,,,,,
VV,vv,,,,,
PUP,pup,,,,,
Crawlers,crawlers,,,,,
Demob Happy,demob-happy,,,,,
AViVA,aviva,,,,,
As December Falls,as-december-falls,,,,,
Fixation,fixation,,,,,
Empire State Bastard,empire-state-bastard,,,,,
Ingested,ingested,,,,,
Undeath,undeath,,,,,
Pupil Slicer,pupil-slicer,,,,,
Witch Fever,witch-fever,,,,,
Taipei Houston,taipei-houston,,,,,
Placebo,placebo,,,,,
Bob Vylan,bob-vylan,,,,,
Kid Kapichi,kid-kapichi,,,,,
Blackgold,blackgold,,,,,
Rituals,rituals,,,,,
Spirit Adrift,spirit-adrift,,,,,
Enola Gay,enola-gay,,,,,
Bambie Thug,bambie-thug,,,,,
Beauty School Dropout,beauty-school-dropout,,,,,
Lake Malice,lake-malice,,,,,
Kid Bookie,kid-bookie,,,,,
Antisaint,antisaint,,,,,
Lorna Shore,lorna-shore,,,,,
Bloodywood,bloodywood,,,,,
SiM,sim,,,,,
Blind Channel,blind-channel,,,,,
Electric Callboy,electric-callboy,,,,,
Set it Off,set-it-off,,,,,
Mod Sun,mod-sun,,,,,
Cleopatrick,cleopatrick,,,,,
Jazmin Bean,jazmin-bean,,,,,
Joey Valence & Brae,joey-valence-&-brae,,,,,
Taylor Acorn,taylor-acorn,,,,,
Crashface,crashface,,,,,
Terror,terror,,,,,
Soen,soen,,,,,
Green Lung,green-lung,,,,,
SOUL GLO,soul-glo,,,,,
The Meffs,the-meffs,,,,,
Hawxx,hawxx,,,,,
Graphic Nature,graphic-nature,,,,,
Beauty School,beauty-school,,,,,
Heilung,heilung,,,,,
Mr. Bungle,mr.-bungle,,,,,
Soft Play,soft-play,,,,,
Scene Queen,scene-queen,,,,,
Halocene,halocene,,,,,
Hanabie.,hanabie.,,,,,
Busted,busted,,,,,
Wheatus,wheatus,,,,,
Bayside,bayside,,,,,
TX2,tx2,,,,,
STORM,storm,,,,,
HEALTH,health,,,,,
The Callous Daoboys,the-callous-daoboys,,,,,
Urne,urne,,,,,
Frozemode,frozemode,,,,,
Defects,defects,,,,,
The Hunna,the-hunna,,,,,
Pantera,pantera,,,,,
Tom Morello,tom-morello,,,,,
Slaughter to Prevail,slaughter-to-prevail,,,,,
Asinhell,asinhell,,,,,
Florence Black,florence-black,,,,,
Noahfinnce,noahfinnce,,,,,
RØRY,røry,,,,,
Charlotte Sands,charlotte-sands,,,,,
Lowlives,lowlives,,,,,
DeathbyRomy,deathbyromy,,,,,
HotWax,hotwax,,,,,
Mallavora,mallavora,,,,,
Alpha Wolf,alpha-wolf,,,,,
Dying Wish,dying-wish,,,,,
Gel,gel,,,,,
Guilt Trip,guilt-trip,,,,,
Calva Louise,calva-louise,,,,,
Alt Blk Era,alt-blk-era,,,,,
Knife Bride,knife-bride,,,,,
Celestial Sanctuary,celestial-sanctuary,,,,,
Kerry King,kerry-king,,,,,
Lord of the Lost,lord-of-the-lost,,,,,
311,311,,,,,
Kelsy Karter & the Heroines,kelsy-karter-&-the-heroines,,,,,
Hoobastank,hoobastank,,,,,
Pinkshift,pinkshift,,,,,
Noisy,noisy,,,,,
Delilah Bon,delilah-bon,,,,,
Erra,erra,,,,,
Fit for a King,fit-for-a-king,,,,,
Shadow of Intent,shadow-of-intent,,,,,
Imminence,imminence,,,,,
Brand of Sacrifice,brand-of-sacrifice,,,,,
Missio,missio,,,,,
Harper,harper,,,,,
Until I Wake,until-i-wake,,,,,
Weezer,weezer,,,,,
McFly,mcfly,,,,,
Bad Nerves,bad-nerves,,,,,
Unpeople,unpeople,,,,,
Dead Pony,dead-pony,,,,,
Karen Dío,karen-dío,,,,,
Eivør,eivør,,,,,
Vola,vola,,,,,
Svalbard,svalbard,,,,,
Windhand,windhand,,,,,
Gore.,gore.,,,,,
Battlesnake,battlesnake,,,,,
The Haunt,the-haunt,,,,,
Poppy,poppy,,,,,
Sex Pistols featuring Frank Carter,sex-pistols-featuring-frank-carter,,,,,
Awolnation,awolnation,,,,,
Currents,currents,,,,,
Kim Dracula,kim-dracula,,,,,
Sophie Lloyd,sophie-lloyd,,,,,
Dayseeker,dayseeker,,,,,
